0,1,2,header,description
2,0,7,Spirit Bond,30% increased Totem Life\n30% increased Totem Duration
2,7,0,Rattled,+20 to maximum Mana\n50% increased Shock Duration
7,0,2,Focused Thrust,75% increased Melee Damage with Spears while Surrounded\n40% increased Projectile Damage with Spears while there are no Enemies within 3m
7,2,0,Colossal Weapon,12% increased Area of Effect for Attacks\n+10 to Strength
1,1,7,Counterstancing,Successfully Parrying a Melee Hit grants 40% increased Damage to your next Ranged Attack\nSuccessfully Parrying a Projectile Hit grants 40% increased Damage to your next Melee Attack
1,7,1,Eroding Chains,Break 50% of Armour on Pinning an Enemy
7,1,1,Shattering Blow,Break 50% of Armour on Heavy Stunning an Enemy
0,1,7,Honourless,25% increased Armour if you've Hit an Enemy with a Melee Attack Recently\n50% increased Melee Damage against Immobilised Enemies
0,7,1,Nourishing Ally,Companions have 20% increased maximum Life\n20% increased Life Recovery Rate while your Companion is in your Presence
1,0,7,Far Sighted,30% reduced penalty to Accuracy Rating at range
1,7,0,Primal Sundering,Damage Penetrates 12% Elemental Resistances\n8% increased Area of Effect for Attacks
7,0,1,Efficient Alchemy,20% increased Flask and Charm Charges gained\n40% increased Life and Mana Recovery from Flasks while you have an active Charm
7,1,0,Return to Nature,Overgrown Plant Skills Break 50% increased Armour
0,7,0,Swift Blocking,12% increased Block chance\n1% increased Movement Speed for each time you've Blocked in the past 10 seconds
7,0,0,Well of Power,20% increased Critical Damage Bonus if you've consumed a Power Charge Recently\nRecover 5% of maximum Mana when you consume a Power Charge
6,6,6,Sand in the Eyes,10% increased Attack Speed\n15% chance to Blind Enemies on Hit with Attacks
5,6,6,Frantic Swings,Enemies Blinded by you have 50% reduced Critical Hit Chance
6,5,6,Distracted Target,30% increased Critical Hit Chance against Blinded Enemies
6,6,5,Chakra of Sight,20% increased Light Radius\nCannot be Blinded\n12% chance to Blind Enemies on Hit
4,6,6,Arcane Blossom,15% increased Mana Recovery rate
6,6,4,Shredding Contraptions,Enemies affected by your Hazards Recently have 25% reduced Armour\nEnemies affected by your Hazards Recently have 25% reduced Evasion Rating
3,6,6,Glorious Anticipation,Skills gain 1 Glory every 2 seconds for each Rare or Unique monster in your Presence
6,3,6,Escape Strategy,100% increased Evasion Rating if you have been Hit Recently\n30% reduced Evasion Rating if you haven't been Hit Recently
6,6,3,Hunker Down,Recover 20 Life when you Block\n+2% to maximum Block chance\n80% less Knockback Distance for Blocked Hits
2,6,6,Pin their Motivation,20% increased Pin duration\nPinned Enemies cannot deal Critical Hits
6,2,6,Hardened Wood,Totems gain +20% to all Elemental Resistances\nTotems have 20% additional Physical Damage Reduction
1,6,6,Lockdown,40% increased Attack Damage against Maimed Enemies\nEnemies are Maimed for 4 seconds after becoming Unpinned
6,1,6,Shadow Dancing,30% increased Evasion Rating if you have been Hit Recently\n60% faster start of Energy Shield Recharge if you've been Stunned Recently
6,6,1,Sitting Duck,35% increased Critical Hit Chance against Immobilised enemies\nYour Hits cannot be Evaded by Pinned Enemies
0,6,6,Reprisal,25% increased Parried Debuff Magnitude
6,0,6,Resolute Reprisal,30% increased Parry Range\nYour Heavy Stun buildup empties 50% faster if you've successfully Parried Recently
6,6,0,Lifelong Friend,Minions Revive 35% faster if all your Minions are Companions
5,5,6,Flare,Gain 2% of Damage as Extra Fire Damage per Endurance Charge consumed Recently
5,6,5,Pin and Run,30% increased Pin Buildup\n5% increased Movement Speed if you've Pinned an Enemy Recently
6,5,5,Hallowed,Gain additional Ailment Threshold equal to 20% of maximum Energy Shield\nGain additional Stun Threshold equal to 20% of maximum Energy Shield
4,5,6,Invigorating Hate,Consume all Rage when Shapeshifting to Human form to recover 1% of maximum life per Rage Consumed
4,6,5,Staunching,Life Flasks gain 0.1 charges per Second\n+10 to Strength
5,4,6,Lead by Example,30% increased Presence Area of Effect\nAllies in your Presence have 30% increased Glory generation
5,6,4,Utility Ordnance,40% increased Cooldown Recovery Rate for Grenade Skills\n80% reduced Grenade Damage
6,4,5,Overwhelming Strike,15% increased Critical Hit Chance for Attacks\n20% increased Critical Damage Bonus for Attack Damage\n20% more Stun Buildup with Critical Hits
6,5,4,Locked On,15% increased Critical Hit Chance for Attacks\n15% increased Accuracy Rating
3,5,6,Tactical Retreat,+0.5 metres to Dodge Roll distance while Surrounded\n10% increased Movement Speed while Surrounded
5,3,6,Repulsion,Area Skills have 20% chance to Knock Enemies Back on Hit\n20% increased Spell Area Damage
5,6,3,Deep Wounds,Attack Hits Aggravate any Bleeding on targets which is older than 4 seconds
6,3,5,Bashing Beast,Enemies you Heavy Stun while Shapeshifted are Intimidated for 6 seconds
6,5,3,Frazzled,15% increased Mana Regeneration Rate\n30% increased Magnitude of Shock you inflict
2,5,6,Vale Shelter,Charms gain 0.15 charges per Second
2,6,5,Javelin,40% increased Critical Damage Bonus with Spears
5,6,2,In the Thick of It,Regenerate 2.5% of maximum Life per second while Surrounded
6,2,5,Favourable Odds,30% increased Block chance while Surrounded\n10% increased Deflection Rating while Surrounded\n40% increased Ailment and Stun Threshold while Surrounded
6,5,2,Slippery Ice,25% reduced Effect of Chill on you\nUnaffected by Chill during Dodge Roll
1,5,6,Widespread Coverage,50% increased Hazard Area of Effect\n20% reduced Hazard Damage
1,6,5,Irreparable,100% increased Armour Break Duration
5,1,6,Hindering Obstacles,Debuffs inflicted by Hazards have 30% increased Slow Magnitude\n30% increased Hazard Immobilisation buildup
5,6,1,Succour,30% increased Life Regeneration rate during Effect of any Life Flask
6,1,5,Spiked Armour,Thorns Damage has 50% chance to ignore Enemy Armour
6,5,1,Protraction,20% increased Skill Effect Duration\n15% increased Duration of Damaging Ailments on Enemies
0,6,5,Immolation,25% increased Ignite Magnitude\n+10 to Strength
5,6,0,Personal Touch,20% increased Attack Damage\n12% increased Immobilisation buildup
6,0,5,Delayed Danger,30% increased Hazard Duration\n40% increased Hazard Damage
6,5,0,Desperate Times,Regenerate 1.5% of maximum Life per second while on Low Life\n40% increased Life Recovery from Flasks used when on Low Life
4,4,6,Blade Flurry,6% increased Attack Speed while Dual Wielding\n15% increased Attack Critical Hit Chance while Dual Wielding
4,6,4,Cold Coat,25% increased Freeze Buildup\n25% reduced Freeze Duration on you\n25% increased Freeze Threshold
6,4,4,Precision Salvo,8% increased Projectile Speed\n6% increased Attack Speed\n12% increased Accuracy Rating
3,4,6,Austerity Measures,+5 to all Attributes\nGain additional Ailment Threshold equal to 16% of maximum Energy Shield\nGain additional Stun Threshold equal to 16% of maximum Energy Shield
4,3,6,Splinters,30% increased Stun Buildup\nHits Break 50% increased Armour on targets with Ailments
6,3,4,Ancient Aegis,60% increased Armour from Equipped Body Armour\n60% increased Energy Shield from Equipped Body Armour
2,4,6,Spirit of the Bear,50% increased Damage against Immobilised Enemies while Shapeshifted\n25% increased Stun buildup while Shapeshifted
2,6,4,Unspoken Bond,Companions have +30% to Chaos Resistance\nCompanions have +30% to all Elemental Resistances
4,6,2,Precise Volatility,Volatile Power also grants 1% increased Critical Hit chance per Volatility exploded
6,2,4,Reinforced Barrier,20% increased maximum Energy Shield\nDefend with 120% of Armour while not on Low Energy Shield
1,4,6,Precise Point,25% increased Damage with Spears\n25% increased Accuracy Rating with Spears
1,6,4,Barbaric Strength,45% increased Critical Damage Bonus\n10% increased Mana Cost of Skills\n+10 to Strength
4,1,6,Unstable Bond,Gain 3 Volatility when an Allied Persistent Reviving Minion is Killed
4,6,1,Vigorous Remnants,Recover 3% of Maximum Life when you collect a Remnant
6,1,4,Arcane Remnants,Recover 3% of Maximum Mana when you collect a Remnant
6,4,1,Full Recovery,15% increased Life Regeneration rate\n15% increased Mana Regeneration Rate\n12% increased Cast Speed while on Full Mana
0,4,6,Heavy Contact,Hits that Heavy Stun Enemies have Culling Strike
0,6,4,Dizzying Hits,10% chance to Daze on Hit\n25% increased Critical Hit Chance against Dazed Enemies
4,0,6,Thirst for Power,25% chance when you gain a Power Charge to gain an additional Power Charge
6,0,4,Reaving,8% increased Attack Speed with One Handed Weapons\n+15 to Dexterity
6,4,0,Thirst for Endurance,25% chance when you gain an Endurance Charge to gain an additional Endurance Charge
3,3,6,Dazing Blocks,100% chance to Daze Enemies whose Hits you Block with a raised Shield
3,6,3,Stupefy,10% chance to Daze on Hit\n30% increased Damage against Dazed Enemies
6,3,3,Thunderstruck,50% increased Electrocute Buildup against Shocked Enemies\n50% increased Shock Chance against Electrocuted Enemies
2,6,3,Shatter Palm,30% increased Stun Buildup\n10% chance to Daze on Hit
3,6,2,Covering Ward,25% increased Energy Shield Recharge Rate\nGain 20 Energy Shield when you Block
6,3,2,Hale Heart,15% increased Life Recovery rate
1,6,3,Internal Bleeding,20% chance to Aggravate Bleeding on targets you Hit with Empowered Attacks\nEmpowered Attacks deal 30% increased Damage
3,1,6,Polished Iron,25% increased Armour\nGain additional Stun Threshold equal to 30% of Item Armour on Equipped Armour Items
3,6,1,Meat Recycling,15% chance to not destroy Corpses when Consuming Corpses
6,3,1,Titanic,30% increased Stun Buildup\n30% increased Stun Threshold\n5% increased Strength
0,6,3,Heartstopping,+10 to Intelligence\n20% increased Critical Hit Chance
3,0,6,Volatile Grenades,25% reduced Grenade Detonation Time
3,6,0,Heart Tissue,8% of Damage taken Recouped as Life\nRegenerate 0.5% of maximum Life per second if you have been Hit Recently
6,3,0,Blurred Motion,5% increased Attack Speed\n10% increased Accuracy Rating\n5% increased Dexterity
2,2,6,Chakra of Impact,"20% increased Attack Damage\nSkills deal 8% increased Damage per Combo consumed, up to 40%"
6,2,2,Stimulants,16% increased Attack Speed during any Flask Effect
1,2,6,Chakra of Rhythm,6% increased Attack Speed\n20% Chance to build an additional Combo on Hit
1,6,2,The Howling Primate,15% increased Presence Area of Effect\nAura Skills have 10% increased Magnitudes\n+10 to Intelligence
2,1,6,The Ancient Serpent,40% reduced Poison Duration on you\nLife Flasks gain 0.1 charges per Second\n+10 to Intelligence
2,6,1,Rallying Icon,"When a Banner expires, recover 15% of the Glory required for that Banner"
6,1,2,Aftershocks,Slam Skills you use yourself have 30% increased Aftershock Area of Effect
6,2,1,Erraticism,16% increased Cast Speed if you've dealt a Critical Hit Recently\n10% reduced Critical Hit Chance
0,2,6,Prolonged Fury,Inherent loss of Rage is 25% slower
0,6,2,Tainted Strike,20% increased Critical Hit Chance for Attacks\n30% increased Magnitude of Non-Damaging Ailments you inflict with Critical Hits
2,0,6,Piercing Claw,Damage Penetrates 15% of Enemy Elemental Resistances while Shapeshifted
2,6,0,Trained Turrets,25% increased Ballista Critical Damage Bonus\n20% increased Ballista Critical Hit Chance
6,0,2,Symbol of Defiance,Banner Skills have 30% increased Area of Effect\nBanner Skills have 30% increased Duration
6,1,1,Leaping Ambush,50% increased Critical Hit Chance against Enemies that are on Full Life
0,1,6,Vulgar Methods,10% reduced maximum Mana\n+10 to Strength\n30% increased Critical Hit Chance
0,6,1,Towering Shield,25% increased Chance to Block if you've Blocked with a raised Shield Recently\n50% increased Defences from Equipped Shield
1,6,0,Pressure Points,35% increased Stun Buildup\n35% increased Freeze Buildup
6,1,0,Finishing Blows,60% increased Damage with Hits against Enemies that are on Low Life\n30% increased Stun Buildup against Enemies that are on Low Life
0,0,6,Devastation,15% increased Attack Area Damage\n12% increased Area of Effect for Attacks
6,0,0,Savoured Blood,Leech Life 20% slower\n35% increased amount of Life Leeched
5,5,5,Breaking Blows,30% increased Stun Buildup\n12% increased Area of Effect if you have Stunned an Enemy Recently
4,5,5,Hale Traveller,20% increased Life Recovery from Flasks\nLife Flasks gain 0.1 charges per Second
5,4,5,Unyielding,15% increased Attack Speed if you've been Hit Recently\n8% reduced Slowing Potency of Debuffs on You
5,5,4,Mass Hysteria,Allies in your Presence have 6% increased Attack Speed\n6% increased Attack Speed
3,5,5,Chillproof,30% reduced Effect of Chill on you\n30% increased Freeze Threshold\n+30% of Armour also applies to Cold Damage
5,3,5,Disorientation,25% increased Blind duration\n25% increased Damage with Hits against Blinded Enemies
2,5,5,Emboldening Casts,12% increased Attack Damage for each different Non-Instant Spell you've used in the past 8 seconds
5,2,5,Shockproof,+30% of Armour also applies to Lightning Damage\n30% reduced effect of Shock on you
5,5,2,Heatproof,+30% of Armour also applies to Fire Damage\n30% reduced Magnitude of Ignite on you
1,5,5,Spreading Shocks,Shocking Hits have a 50% chance to also Shock enemies in a 1.5 metre radius
5,1,5,Piercing Shot,50% chance to Pierce an Enemy
5,0,5,Surging Beast,Gain Arcane Surge when you Shapeshift to Human form after being Shapeshifted for at least 8 seconds
5,5,0,Conservative Casting,20% increased Mana Regeneration Rate\n15% increased Mana Cost Efficiency
4,5,4,Resolution,25% increased Stun Threshold\n10% increased Defences
3,4,5,Impact Area,12% increased Area of Effect if you have Stunned an Enemy Recently\n12% increased Area of Effect for Attacks
3,5,4,Heavy Weaponry,15% increased Melee Damage\n15% increased Stun Buildup with Melee Damage\n+15 to Strength
4,5,3,Coursing Energy,40% increased Electrocute Buildup\n30% increased Shock Chance against Electrocuted Enemies
2,5,4,Beastial Skin,100% increased Evasion Rating from Equipped Body Armour
4,5,2,Whirling Assault,8% increased Attack Speed with Quarterstaves\nKnocks Back Enemies if you get a Critical Hit with a Quarterstaff
1,4,5,Twinned Tethers,Link Skills Link to 1 additional random target
1,5,4,Strong Links,Link Skills have 20% increased Buff Effect\nLink Skills have 20% increased Skill Effect Duration
4,1,5,Enhancing Attacks,12% increased Spell Damage for each different Non-Instant Attack you've used in the past 8 seconds
4,5,1,Catapult,15% increased Projectile Speed\n12% increased Area of Effect for Attacks
5,4,1,Unbound Forces,40% increased Chill Duration on Enemies\n40% increased Shock Duration\n25% increased Magnitude of Chill you inflict\n25% increased Magnitude of Shock you inflict
0,5,4,Immaterial,50% increased Evasion Rating if Energy Shield Recharge has started in the past 2 seconds\n30% increased Evasion Rating while you have Energy Shield
4,5,0,Steady Footing,40% increased Stun Threshold\n20% increased Stun Threshold if you haven't been Stunned Recently
5,0,4,Against the Elements,30% increased Elemental Ailment Threshold\n15% reduced Slowing Potency of Debuffs on You
5,4,0,Reinvigoration,Regenerate 1% of maximum Life per Second if you've used a Life Flask in the past 10 seconds
3,3,5,Potent Incantation,30% increased Spell Damage\n5% reduced Cast Speed
5,3,3,Direct Approach,35% increased Critical Hit Chance against Enemies that are affected by no Elemental Ailments
2,3,5,Cranial Impact,30% increased Stun Buildup\nGain an Endurance Charge when you Heavy Stun a Rare or Unique Enemy
3,2,5,Sic 'Em,Companions deal 60% increased damage against Immobilised enemies
3,5,2,Serrated Edges,10% increased Critical Hit Chance for Attacks\n30% increased Attack Damage against Rare or Unique Enemies
5,2,3,Viciousness,3% increased Attack Speed per Enemy in Close Range\n+10 to Dexterity
5,3,2,Wolf's Howl,30% increased Critical Hit Chance if you have Shapeshifted to an Animal form Recently
1,3,5,Roll and Strike,25% increased Damage with Spears\n10% increased Attack Speed with Spears
1,5,3,Wyvern's Breath,40% increased chance to inflict Elemental Ailments if you have Shapeshifted to an Animal form Recently
3,1,5,Doomsayer,Herald Skills have 25% increased Area of Effect\nHerald Skills deal 30% increased Damage
5,1,3,Deafening Cries,25% increased Warcry Cooldown Recovery Rate\n8% increased Damage for each time you've Warcried Recently
0,3,5,Adverse Growth,20% reduced Life Regeneration rate\n20% of Damage taken Recouped as Mana
0,5,3,Imbibed Power,6% increased Attack Speed during any Flask Effect\n25% increased Damage during any Flask Effect
3,0,5,Guttural Roar,25% increased Warcry Speed\nWarcries Debilitate Enemies\nWarcry Skills have 25% increased Area of Effect
5,0,3,Taut Flesh,20% of Physical Damage taken Recouped as Life
5,3,0,Sundering,25% increased Critical Damage Bonus for Attack Damage\n+25% to Critical Damage Bonus against Stunned Enemies
2,2,5,Agile Succession,6% increased Attack Speed\n30% increased Evasion Rating if you have Hit an Enemy Recently
2,5,2,Regenerative Flesh,6% of Damage taken Recouped as Life\nMinions Recoup 15% of Damage taken as Life
5,2,2,Concussive Attack,25% increased Attack Damage\n5% chance to Daze on Hit
1,2,5,Afterimage,60% increased Evasion Rating if you have Hit an Enemy Recently\n5% reduced Movement Speed Penalty from using Skills while moving
1,5,2,Preemptive Strike,100% increased Critical Damage Bonus against Enemies that are on Full Life
2,1,5,Shifted Strikes,30% increased Attack Damage if you have Shapeshifted to an Animal form Recently
5,1,2,Unleash Fire,30% increased Stun Buildup with Melee Damage\nProjectiles deal 75% increased Damage against Heavy Stunned Enemies
5,2,1,Wellspring,30% increased Mana Recovery from Flasks\n8% increased Attack and Cast Speed during Effect of any Mana Flask
0,5,2,Mental Perseverance,10% of Damage is taken from Mana before Life\n+15 to Intelligence
2,5,0,Unerring Impact,16% increased Accuracy Rating with One Handed Melee Weapons\n16% increased Accuracy Rating with Two Handed Melee Weapons\n+2 to Melee Strike Range
5,2,0,Roil,10% reduced Spell Area Damage\nSpell Skills have 25% increased Area of Effect
1,1,5,Shrapnel,30% chance to Pierce an Enemy\nProjectiles have 10% chance to Chain an additional time from terrain
5,1,1,Hulking Smash,30% increased Stun Buildup\n+15 to Strength
0,1,5,True Strike,+10 to Dexterity\n20% increased Critical Hit Chance
1,5,0,Sharp Sight,5% increased Attack Speed\n30% increased Accuracy Rating against Rare or Unique Enemies
0,5,0,Flip the Script,Recover 50% of maximum Life when you Heavy Stun a Rare or Unique Enemy
4,4,4,Heavy Drinker,20% increased Life Recovery from Flasks\nLife Flasks applied to you grant Guard for 4 seconds equal to 8% of the Life Recovery per Second they apply
3,4,4,Strike True,20% increased Accuracy Rating\n+10 to Dexterity
4,4,3,Dispatch Foes,40% increased Critical Hit Chance if you haven't dealt a Critical Hit Recently
2,4,4,Infused Flesh,+20 to maximum Life\n8% of Damage taken Recouped as Life
4,2,4,Ether Flow,25% reduced Mana Regeneration Rate while stationary\n50% increased Mana Regeneration Rate while moving\n5% reduced Movement Speed Penalty from using Skills while moving
4,4,2,Essence Infusion,40% increased Energy Shield Recharge Rate\n+10 to Intelligence
4,1,4,Adaptable Assault,+4 to Melee Strike Range if you've dealt a Projectile Attack Hit in the past eight seconds\nProjectiles have 25% chance to Fork if you've dealt a Melee Hit in the past eight seconds
0,4,4,Self Mortification,Gain additional Stun Threshold equal to 20% of maximum Energy Shield\n20% increased Stun Threshold while on Full Life
4,4,0,Decisive Retreat,50% increased Critical Damage Bonus against Enemies that have exited your Presence Recently
3,4,3,Unbreaking,30% increased Stun Threshold\n30% increased Elemental Ailment Threshold
2,3,4,Efficient Casting,15% increased Mana Regeneration Rate\n20% increased Mana Cost Efficiency
2,4,3,Warding Potions,10% reduced Flask Charges used from Mana Flasks\nRemove a Curse when you use a Mana Flask
3,4,2,Bear's Roar,40% increased Stun buildup if you have Shapeshifted to an Animal form Recently
4,2,3,Electrifying Nature,25% increased Lightning Damage\n15% increased Shock Duration
1,4,3,Long Distance Relationship,30% increased Presence Area of Effect\nMinions have 15% increased Area of Effect
3,4,1,Siphon,Recover 2% of maximum Mana on Kill\n25% increased amount of Mana Leeched
4,1,3,Efficient Killing,15% increased Mana Regeneration Rate\nRecover 2% of maximum Mana on Kill
4,3,1,Splintering Force,Minions Break Armour equal to 3% of Physical damage dealt
0,4,3,Near Sighted,30% increased Critical Hit Chance for Attacks\n30% increased penalty to Accuracy Rating at range
4,0,3,Shedding Skin,40% increased Elemental Ailment Threshold\n10% reduced Duration of Ailments on You
4,3,0,Critical Exploit,25% increased Critical Hit Chance
2,2,4,Freedom of Movement,20% increased Evasion Rating\n10% reduced Slowing Potency of Debuffs on You\n5% reduced Movement Speed Penalty from using Skills while moving
4,2,2,Arcane Alchemy,Mana Flasks gain 0.1 charges per Second\n+10 to Intelligence
1,2,4,Cross Strike,20% increased Accuracy Rating while Dual Wielding\n3% increased Movement Speed while Dual Wielding
1,4,2,Swift Interruption,12% increased Attack Speed if you've successfully Parried Recently\n6% increased Movement Speed if you've successfully Parried Recently
2,4,1,Controlled Chaos,Maximum Volatility is 30
4,1,2,Thickened Arteries,Regenerate 0.5% of maximum Life per second\n40% increased Life Regeneration Rate while stationary
0,2,4,Determined Precision,30% increased Accuracy Rating at Close Range\n+10 to Dexterity
2,0,4,Initiative,30% increased Melee Damage when on Full Life\n16% increased Attack Speed if you haven't Attacked Recently
4,0,2,Taste for Blood,Gain 20 Life per enemy killed\n2% chance to Recover all Life when you Kill an Enemy
1,4,1,Vigilance,12% increased Block chance\n10 Life gained when you Block\n+2% to maximum Block chance
0,4,1,Altered Brain Chemistry,25% increased Mana Recovery from Flasks\n10% increased Mana Recovery Rate during Effect of any Mana Flask
1,4,0,Hunting Companion,Culling Strike against Beasts while your Companion is in your Presence\n20% increased Culling Strike Threshold\ncan see monster categories [1]
4,0,1,Deadly Flourish,25% increased Melee Critical Hit Chance
4,1,0,Defiance,120% increased Armour and Evasion Rating when on Low Life
0,0,4,Investing Energies,35% increased Mana Regeneration Rate while stationary
4,0,0,Deft Recovery,30% increased Stun Recovery\n30% increased Stun Threshold if you haven't been Stunned Recently
3,3,3,Hunter's Talisman,+1 Charm Slot
2,3,3,Forcewave,20% increased Stun Buildup\n20% increased Knockback Distance\n20% increased Physical Damage
3,2,3,Hastening Barrier,5% increased Cast Speed\n10% increased Cast Speed when on Full Life
3,3,2,Careful Consideration,30% reduced Evasion Rating if you have been Hit Recently\n100% increased Evasion Rating if you haven't been Hit Recently
3,1,3,Pocket Sand,50% increased Blind Effect
3,3,1,Arcane Mixtures,25% increased Energy Shield Recharge Rate\nMana Flasks gain 0.1 charges per Second
3,3,0,Impenetrable Shell,Defend with 150% of Armour against Hits from Enemies that are further than 6m away
2,3,2,Killer Instinct,40% increased Attack Damage while on Full Life\n60% increased Attack Damage while on Low Life
3,2,2,Inspiring Leader,Banners also grant +25% to all Elemental Resistances to you and Allies
1,2,3,Primal Protection,40% increased Charm Effect Duration\n40% increased Charm Charges gained
2,3,1,Stand Ground,Regenerate 1% of maximum Life per second while affected by any Damaging Ailment\nRegenerate 1% of maximum Life per second while stationary
3,2,1,Staggering Wounds,50% chance to Knock Back Bleeding Enemies with Hits
0,3,2,Mass Rejuvenation,Allies in your Presence Regenerate 1% of your Maximum Life per second\nRegenerate 0.5% of maximum Life per second
2,0,3,Inevitable Rupture,10% chance for Attack Hits to apply ten Incision
2,3,0,Shockwaves,25% increased Area of Effect if you've Stunned an Enemy with a Two Handed Melee Weapon Recently
3,2,0,Instability,"25% chance that when Volatility on you explodes, you regain an equivalent amount of Volatility"
1,1,3,Careful Aim,15% increased Accuracy Rating\n20% increased Projectile Damage
3,1,1,Clear Space,20% increased Knockback Distance\n20% chance to Knock Enemies Back with Hits at Close Range
0,1,3,Seeing Stars,10% chance to Daze on Hit\n25% increased Daze Duration
1,0,3,Briny Carapace,100% increased Stun Threshold for each time you've been Stunned Recently
3,0,1,Strong Chin,Gain Stun Threshold equal to the lowest of Evasion and Armour on your Helmet
0,3,0,Close Confines,50% chance for Projectiles to Pierce Enemies within 3m distance of you
2,2,2,Incision,50% increased effect of Incision
1,2,2,Heavy Ammunition,5% reduced Attack Speed\n40% increased Projectile Damage\n40% increased Projectile Stun Buildup
2,1,2,Flashy Parrying,12% increased Block chance\n20% increased Parried Debuff Duration
0,2,2,Sharpened Claw,30% increased Physical Damage while Shapeshifted
2,2,0,Backup Plan,50% increased Evasion Rating if you have been Hit Recently\n50% increased Armour if you haven't been Hit Recently
0,1,2,Back in Action,80% increased Stun Recovery
1,2,0,Consistent Intake,Cannot be Critically Hit while Parrying\n15% increased Parried Debuff Magnitude
0,0,2,High Alert,50% increased Evasion Rating when on Full Life\n25% increased Stun Threshold while on Full Life
2,0,0,Defensive Reflexes,12% increased Block chance\n5 Mana gained when you Block
0,1,0,Blinding Flash,Blind Enemies when they Stun you\n20% increased Blind Effect
0,0,0,Insulated Treads,Gain Ailment Threshold equal to the lowest of Evasion and Armour on your Boots
